input,reference,greedy,beam
""" be absurd !""",""" this is absurd !""",""" this is absurd !""",""" this is absurd !"""
"give me of you o spring , before i close , put between it page !","give me of you o spring , before i close , to put between its pages !","give me of you o spring , before i close , put between it pages !","give me of you o spring , before i close , put between it pages !"
""" anarchy ,"" he say , shrug his shoulder , "" it be childishness !""",""" anarchy ,"" he said , shrugging his shoulders , "" it is childishness !""",""" anarchy ,"" he said , the shrugged his shoulder , "" it is a childishness !""",""" anarchy ,"" he said , the shrugged his shoulder , "" it is a childishness !"""
"you be afraid of give me trouble ; i assure you , my dear jane , campbell can hardly be more interested about you than i be .","you are afraid of giving me trouble ; but i assure you , my dear jane , the campbells can hardly be more interested about you than i am .","you are afraid of giving me trouble ; i assure you , my dear jane , the campbells can hardly be more interested about you than i am .","you are afraid of giving me trouble ; i assure you , my dear , the campbells can hardly be more interested about you than i am ."
"12 : 13 by prophet lord bring israel out of egypt , by prophet be he preserve .","12 : 13 and by a prophet the lord brought israel out of egypt , and by a prophet was he preserved .","12 : 13 by the prophet the lord brought israel out of egypt , by the prophets was he preserved .","12 : 13 by the prophet the lord brought israel out of egypt , by the prophets was he preserved ."
""" yes , with circumstance ,"" reply archer ; "" right wrong , as long a i think it honourable do so so , i ' m satisfy .""",""" yes , with circumstances ,"" replied archer ; "" but right or wrong , as long as i think it honourable to do so and so , i ' m satisfied .""",""" yes , with circumstances ,"" replied archer ; "" right wrong , as long as i thought it honourable to do so , i ' m satisfied .""",""" yes , with circumstances ,"" replied archer ; "" right wrong , as long as i thought it honourable to do so , i ' m satisfied ."""
"have flask help himself , chance be ahab have never so much a noticed it .","and had flask helped himself , the chances were ahab had never so much as noticed it .","had flask helped himself , and chance was ahab had never so much as a whip it .","had flask helped himself , and chance was ahab had never so much as a whip it ."
"after think time on bed - side , i get up take off my monkey jacket , then stand in middle of room thinking .","after thinking some time on the bed - side , i got up and took off my monkey jacket , and then stood in the middle of the room thinking .","after thinking time on the bed - side , i got up to take off my monkey jacket , then stood in the middle of the room thinking .","after thinking time on the bed - side , i got up to take off my monkey jacket , then stood in the middle of the room thinking ."
"when men in book awake from vision , they commonly find themselves in place in which they might have fall asleep ; they yawn in chair , lift themselves with bruise limb from field .","when men in books awake from a vision , they commonly find themselves in some place in which they might have fallen asleep ; they yawn in a chair , or lift themselves with bruised limbs from a field .","when the men in the book awoke from the vision , they commonly found themselves in the place in which they might have fallen asleep ; and they all yawned in the chair , and lifted themselves with bruised limbs from the fields .","and when the men in the book awaking from the vision , they commonly found themselves in the place in which they might have fallen asleep ; and they yawned in the chair , and lifted themselves with bruised limbs from the fields ."
"they have talk about mr .  in dim twinkle pine wood , amid bewilder monotony of pine .","they had talked about mr . in dim and twinkling pine woods , amid the bewildering monotony of the pines .","they had talked about mrs . in the dim twinkle and the twinkling wood , amid the rattling monotony of pine .","they had talked about mrs . in the dim twinkle and the twinkling wood , amid the rattling monotony of pine ."
